objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll176,lifta_256.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795456 N,35.196372 E,,,Image;StillImage,image/jpeg,,,
coll177,lifta_257.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795531 N,35.196389 E,,,Image;StillImage,image/jpeg,,,
coll178,lifta_258.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795314 N,35.196289 E,,,Image;StillImage,image/jpeg,,,
coll179,lifta_259.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795092 N,35.196292 E,,,Image;StillImage,image/jpeg,,,
coll180,lifta_26.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799472 N,35.198258 E,,,Image;StillImage,image/jpeg,,,
coll181,lifta_260.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795203 N,35.196189 E,,,Image;StillImage,image/jpeg,,,
coll182,lifta_261.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795269 N,35.196144 E,,,Image;StillImage,image/jpeg,,,
coll183,lifta_262.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795125 N,35.196208 E,,,Image;StillImage,image/jpeg,,,
coll184,lifta_263.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795064 N,35.196267 E,,,Image;StillImage,image/jpeg,,,
coll185,lifta_264.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795028 N,35.196297 E,,,Image;StillImage,image/jpeg,,,
coll186,lifta_265.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.794922 N,35.196336 E,,,Image;StillImage,image/jpeg,,,
coll187,lifta_266.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.794611 N,35.196350 E,,,Image;StillImage,image/jpeg,,,
coll188,lifta_267.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.794475 N,35.196697 E,,,Image;StillImage,image/jpeg,,,
