objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll117,lifta_202.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796128 N,35.196006 E,,lifta_202.jpg,Image;StillImage,image/jpg,,,
coll118,lifta_203.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796183 N,35.195869 E,,lifta_203.jpg,Image;StillImage,image/jpg,,,
coll119,lifta_204.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796194 N,35.195842 E,,lifta_204.jpg,Image;StillImage,image/jpg,,,
coll120,lifta_205.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796233 N,35.195867 E,,lifta_205.jpg,Image;StillImage,image/jpg,,,
coll121,lifta_206.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796228 N,35.195839 E,,lifta_206.jpg,Image;StillImage,image/jpg,,,
coll122,lifta_207.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796203 N,35.195825 E,,lifta_207.jpg,Image;StillImage,image/jpg,,,
coll123,lifta_208.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796225 N,35.195831 E,,lifta_208.jpg,Image;StillImage,image/jpg,,,
coll124,lifta_209.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796225 N,35.195831 E,,lifta_209.jpg,Image;StillImage,image/jpg,,,
coll125,lifta_21.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799419 N,35.197650 E,,lifta_21.jpg,Image;StillImage,image/jpg,,,
coll126,lifta_210.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796214 N,35.195842 E,,lifta_210.jpg,Image;StillImage,image/jpg,,,
coll127,lifta_211.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796069 N,35.196025 E,,lifta_211.jpg,Image;StillImage,image/jpg,,,
coll128,lifta_212.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796617 N,35.195975 E,,lifta_212.jpg,Image;StillImage,image/jpg,,,
